RegionID,VoronoiVolume,TotalFiberVolume,FiberVolumeFrac,FiberIndices,FiberLengthsInside,FiberP1_inside,FiberP2_inside,MinCorner,CuboidSize
6,1676.131115,0,0,,,,,[-30.816 -48.333 -50.000],[20.816 38.333 5.642]
7,7928.835556,244.2889293,0.03081019,18,4.86,[17.0817 -43.5839 -50.0000],[20.9748 -43.5839 -47.0909],[2.741 -48.584 -60.716],[32.574 10.0 24.341]
11,7552.328964,471.5597441,0.062438984,89,9.3814,[3.4345 12.0906 -50.0000],[11.5813 12.0906 -45.3482],[-10.676 7.091 -58.057],[36.368 10.0 20.766]
12,1604.907252,147.5757871,0.091952845,"76, 77","1.9524, 0.9836","[50.0000 5.4634 -50.0000], [50.0000 24.5438 -49.0164]","[50.0000 5.4634 -48.0476], [50.0000 24.5438 -50.0000]",[45.0 6.979 -54.024],[10.0 16.049 10.0]
16,268.0628399,144.4684046,0.538934843,78,2.8741,[50.0000 49.3326 -50.0000],[50.0000 50.0000 -47.2045],[31.498 31.853 -50.000],[10.3 10.3 12]
18,5088.535866,1627.910093,0.31991719,4,32.3862,[-23.7046 -50.0000 -31.0944],[-50.0000 -50.0000 -50.0000],[-50.154 -55.0 -50.111],[26.604 10.0 19.127]
22,55426.88665,197.8937554,0.003570357,58,3.937,[-49.0615 -28.1324 -50.0000],[-46.6064 -28.5925 -46.9569],[-78.846 -34.174 -86.918],[62.025 11.624 76.879]
24,25218.36958,4902.663404,0.194408421,"18, 62, 63, 65, 69, 70, 80, 81, 82","19.9488, 9.548, 17.0347, 5.3698, 5.3698, 4.735, 6.5544, 25.8765, 3.0984","[34.0197 -43.5839 -37.3434], [41.3462 -48.3214 -22.6679], [46.8989 -32.1459 -12.8418], [50.0000 -16.3788 -16.2889], [45.9412 -16.3788 -19.8047], [45.5243 -4.1013 -16.5687], [43.6412 -33.3775 -43.1052], [26.2877 -22.0890 -46.2400], [50.0000 -9.4734 -36.7143]","[50.0000 -43.5839 -25.4025], [48.5301 -48.3214 -16.3786], [35.5448 -32.1459 -25.5408], [45.9412 -16.3788 -19.8047], [50.0000 -16.3788 -16.2889], [50.0000 -4.1013 -15.0230], [50.0000 -33.3775 -41.5157], [50.0000 -22.0890 -35.8806], [47.0869 -9.4734 -37.7698]",[27.517 -46.029 -44.509],[21.254 39.636 29.936]
25,3854.705482,204.0475529,0.052934667,55,4.0594,[-46.9055 2.4297 -29.8449],[-50.0000 2.4297 -32.4722],[-59.107 -2.57 -40.204],[21.308 10.0 18.091]
26,49063.96675,3708.30804,0.075581089,"55, 74, 88, 92","18.8906, 15.8618, 24.8725, 14.1495","[-32.5053 2.4297 -17.6183], [-11.6364 -4.1928 -21.9816], [-5.1976 4.6239 -38.3168], [-19.2841 20.7969 -28.4381]","[-46.9055 2.4297 -29.8449], [-24.2372 -4.1928 -31.6159], [-29.6509 4.6239 -42.8637], [-6.9571 20.7969 -21.4917]",[-51.719 -7.077 -45.777],[51.336 30.758 31.073]
27,42100.17669,5491.482102,0.130438457,"88, 89, 91, 92, 93","28.3853, 15.2624, 25, 15.9161, 24.6857","[22.7094 4.6239 -33.1278], [11.5813 12.0906 -45.3482], [27.2679 22.3287 -33.1551], [-3.4676 20.7969 -19.5253], [25.9074 32.5935 -20.0643]","[-5.1976 4.6239 -38.3168], [24.8353 12.0906 -37.7803], [2.9169 22.3287 -38.8143], [10.3986 20.7969 -11.7116], [3.9639 32.5935 -31.3723]",[-7.03 3.045 -47.247],[36.131 31.127 37.434]
28,29114.4873,2873.179196,0.09868555,"70, 82, 83, 88, 89","10.4414, 9.7847, 7.9831, 27.7584, 1.1925","[35.6549 -4.1013 -19.9771], [47.0869 -9.4734 -37.7698], [50.0000 15.9862 -27.8257], [50.0000 4.6239 -28.0534], [24.8353 12.0906 -37.7803]","[45.5243 -4.1013 -16.5687], [37.8875 -9.4734 -41.1031], [44.2693 15.9862 -33.3835], [22.7094 4.6239 -33.1278], [25.8708 12.0906 -37.1890]",[20.044 -11.96 -43.499],[32.621 30.433 29.327]
29,12383.45834,939.132949,0.075837696,29,18.6835,[-50.0000 50.0000 -15.0918],[-35.9425 50.0000 -2.7849],[-61.776 45.0 -25.401],[37.61 10.0 32.926]
30,22473.52072,2546.114366,0.113293969,"14, 29","20.4739, 30.1795","[0.9223 36.1847 1.7839], [-35.9425 50.0000 -2.7849]","[-15.1137 36.9396 -10.9226], [-13.2355 50.0000 17.0945]",[-38.956 35.055 -13.213],[42.891 16.074 32.597]
31,18345.04113,1073.435419,0.058513656,87,21.3553,[1.9183 53.4387 -35.8126],[-14.0431 53.4387 -50.0000],[-28.777 48.439 -63.097],[45.43 10.0 40.381]
32,25253.16401,975.5258824,0.038629848,85,19.4075,[50.0000 51.6786 -15.0918],[35.3978 51.6786 -27.8756],[15.845 46.679 -44.993],[53.708 10.0 47.02]
35,1889.426168,149.4095168,0.079076663,3,2.9724,[15.6899 -50.0000 20.6202],[13.4322 -50.0000 18.6869],[7.134 -55.0 13.294],[14.854 10.0 12.72]
